ID,storm_code,stom_name,year,month,day,time,record,status,lat,lon,wind_max,min_pressure,,,,,
1,AL011940,UNNAMED,1940,5,19,1200,,TS,22,71,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,19,1800,,TS,22.7,71.3,35,-999,,,,7,0
1,AL011940,UNNAMED,1940,5,20,0,,TS,23.4,71.5,35,-999,,,,83,136.9
1,AL011940,UNNAMED,1940,5,20,600,,TS,24.2,71.7,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,20,1200,,TS,25,71.9,40,-999,,,,,
1,AL011940,UNNAMED,1940,5,20,1800,,TS,26,72.1,40,-999,,,,,
1,AL011940,UNNAMED,1940,5,21,0,,TS,27,72.2,45,-999,,,,,
1,AL011940,UNNAMED,1940,5,21,600,,TS,28,72.3,45,-999,,,,,
1,AL011940,UNNAMED,1940,5,21,1200,,TS,29,72.4,50,-999,,,,,
1,AL011940,UNNAMED,1940,5,21,1800,,TS,30.1,72.5,50,-999,,,,,
1,AL011940,UNNAMED,1940,5,22,0,,TS,31.5,72.7,55,-999,,,,,
1,AL011940,UNNAMED,1940,5,22,600,,TS,33.5,72.8,55,-999,,,,,
1,AL011940,UNNAMED,1940,5,22,1200,,TS,35,72.8,55,-999,,,,,
1,AL011940,UNNAMED,1940,5,22,1800,,TS,35.6,72.6,55,-999,,,,,
1,AL011940,UNNAMED,1940,5,23,0,,TS,35.9,72.3,50,-999,,,,,
1,AL011940,UNNAMED,1940,5,23,600,,TS,36,71.9,50,-999,,,,,
1,AL011940,UNNAMED,1940,5,23,1200,,TS,36,71.5,50,-999,,,,,
1,AL011940,UNNAMED,1940,5,23,1800,,TS,36,71.1,45,-999,,,,,
1,AL011940,UNNAMED,1940,5,24,0,,TS,35.9,70.7,40,-999,,,,,
1,AL011940,UNNAMED,1940,5,24,600,,TS,35.7,70.3,40,-999,,,,,
1,AL011940,UNNAMED,1940,5,24,1200,,TS,35.7,69.8,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,24,1800,,TS,36.2,69.2,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,25,0,,TS,36.7,68.5,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,25,600,,TS,37.3,67.9,35,-999,,,,,
1,AL011940,UNNAMED,1940,5,25,1200,,EX,37.9,67.3,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,25,1800,,EX,38.5,66.7,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,26,0,,EX,39.1,66.2,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,26,600,,EX,39.6,65.7,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,26,1200,,EX,40.2,65.2,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,26,1800,,EX,41.1,64.3,30,-999,,,,,
1,AL011940,UNNAMED,1940,5,27,0,,EX,42.2,63.1,25,-999,,,,,
1,AL011940,UNNAMED,1940,5,27,600,,EX,43.5,61.5,20,-999,,,,,
2,AL021940,UNNAMED,1940,8,3,1200,,TD,28.5,83.1,25,-999,,,,,
2,AL021940,UNNAMED,1940,8,3,1800,,TD,28.1,83.9,30,-999,,,,,
